Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
 Bork, 	 7 	 568860 	 574516 	 182 	 942.67 	 4487 
 scowled, 	 1 	 594965 	 594965 	 0 	 0.00 	 0 
 'fraid 	 1 	 608315 	 608315 	 0 	 0.00 	 0 
 fondled 	 2 	 608926 	 610087 	 1161 	 1161.00 	 1161 
 maniacal 	 1 	 610146 	 610146 	 0 	 0.00 	 0 
 narrowest 	 1 	 618214 	 618214 	 0 	 0.00 	 0 
 lumbago, 	 1 	 628738 	 628738 	 0 	 0.00 	 0 
 possible--and 	 1 	 629548 	 629548 	 0 	 0.00 	 0 
 unlaced 	 1 	 634751 	 634751 	 0 	 0.00 	 0 
 impertinence, 	 1 	 636608 	 636608 	 0 	 0.00 	 0 
 physique, 	 1 	 644055 	 644055 	 0 	 0.00 	 0 
 plundered, 	 1 	 653400 	 653400 	 0 	 0.00 	 0 
 note 	 136 	 7076 	 654046 	 6 	 4792.37 	 67568 
 opposite 	 50 	 8038 	 632096 	 84 	 12735.88 	 51551 
 feature 	 7 	 16541 	 264619 	 7959 	 41346.33 	 76405 
 hive 	 1 	 26838 	 26838 	 0 	 0.00 	 0 
 survive 	 4 	 86581 	 539140 	 4142 	 150853.00 	 287760 
 charm 	 5 	 105096 	 511171 	 10179 	 101518.75 	 210292 
 combine 	 1 	 149400 	 149400 	 0 	 0.00 	 0 
 NOBLE 	 1 	 163434 	 163434 	 0 	 0.00 	 0 
 conclusive 	 1 	 175728 	 175728 	 0 	 0.00 	 0 
 Marylebone 	 1 	 273759 	 273759 	 0 	 0.00 	 0 
 well-made 	 1 	 374252 	 374252 	 0 	 0.00 	 0 
 night--we 	 1 	 383099 	 383099 	 0 	 0.00 	 0 
 mute 	 1 	 393898 	 393898 	 0 	 0.00 	 0 
 5 	 1 	 450326 	 450326 	 0 	 0.00 	 0 
 extravagance 	 1 	 506902 	 506902 	 0 	 0.00 	 0 
 grange 	 1 	 514883 	 514883 	 0 	 0.00 	 0 
 They've 	 1 	 516819 	 516819 	 0 	 0.00 	 0 
 intelligible 	 1 	 530822 	 530822 	 0 	 0.00 	 0 
 entree 	 1 	 577584 	 577584 	 0 	 0.00 	 0 
 dwarf-like 	 1 	 591221 	 591221 	 0 	 0.00 	 0 
 Home 	 2 	 593201 	 593267 	 66 	 66.00 	 66 
 Pike 	 1 	 601556 	 601556 	 0 	 0.00 	 0 
 explode 	 2 	 607385 	 631175 	 23790 	 23790.00 	 23790 
 Mere 	 1 	 618225 	 618225 	 0 	 0.00 	 0 
 appointment"--she 	 1 	 637449 	 637449 	 0 	 0.00 	 0 
 disaster. 	 3 	 579 	 628814 	 256553 	 314117.50 	 371682 
 right--noon 	 1 	 3044 	 3044 	 0 	 0.00 	 0 
 abstraction. 	 1 	 6828 	 6828 	 0 	 0.00 	 0 
 satisfaction. 	 15 	 8089 	 536196 	 3476 	 37721.93 	 89007 
 yellow. 	 1 	 10948 	 10948 	 0 	 0.00 	 0 
 perpetration 	 1 	 15739 	 15739 	 0 	 0.00 	 0 
 exertions. 	 2 	 16216 	 413851 	 397635 	 397635.00 	 397635 
 everything. 	 18 	 16474 	 651054 	 804 	 37328.23 	 122117 
 fit. 	 4 	 22010 	 633764 	 41289 	 203918.00 	 342588 
 scouts. 	 1 	 24676 	 24676 	 0 	 0.00 	 0 
 sight. 	 17 	 28331 	 639413 	 26 	 38192.62 	 119570 
 eastern 	 1 	 33738 	 33738 	 0 	 0.00 	 0 
 admiration 	 16 	 37307 	 479675 	 840 	 29491.20 	 155607 
 recollection. 	 3 	 41802 	 608639 	 1466 	 283418.50 	 565371 
 interest. 	 34 	 44819 	 656438 	 12 	 18533.91 	 84517 
 concentration 	 8 	 47010 	 637112 	 731 	 84300.29 	 200119 
 liking. 	 1 	 50473 	 50473 	 0 	 0.00 	 0 
 dead. 	 20 	 52222 	 634695 	 75 	 30656.47 	 79489 
 Stern 	 1 	 58600 	 58600 	 0 	 0.00 	 0 
 bon 	 1 	 71065 	 71065 	 0 	 0.00 	 0 
 Sholtos. 	 1 	 74136 	 74136 	 0 	 0.00 	 0 
 fair-spoken 	 1 	 77320 	 77320 	 0 	 0.00 	 0 
 bricks. 	 3 	 81846 	 131654 	 546 	 24904.00 	 49262 
 Auckland. 	 1 	 105995 	 105995 	 0 	 0.00 	 0 
 Hosmer--Mr. 	 1 	 106697 	 106697 	 0 	 0.00 	 0 
 Alice. 	 2 	 120137 	 120380 	 243 	 243.00 	 243 
 bearing. 	 3 	 121723 	 491733 	 165571 	 185005.00 	 204439 
 presently. 	 6 	 121842 	 469494 	 8670 	 69530.40 	 143044 
 '85. 	 1 	 123770 	 123770 	 0 	 0.00 	 0 
 perpetrators. 	 1 	 126747 	 126747 	 0 	 0.00 	 0 
 naturally. 	 1 	 141283 	 141283 	 0 	 0.00 	 0 
 convulsion 	 5 	 148234 	 595912 	 1639 	 111919.50 	 213375 
 necessary. 	 4 	 175512 	 581278 	 98641 	 135255.33 	 199212 
 mustard. 	 1 	 187218 	 187218 	 0 	 0.00 	 0 
 turf 	 5 	 192053 	 648502 	 1474 	 114112.25 	 281185 
 half-crown 	 1 	 197255 	 197255 	 0 	 0.00 	 0 
 destruction 	 4 	 219330 	 643810 	 54186 	 141493.33 	 298918 
 after-hold. 	 1 	 222278 	 222278 	 0 	 0.00 	 0 
 week--on 	 1 	 225037 	 225037 	 0 	 0.00 	 0 
 sullen 	 8 	 235122 	 654570 	 5170 	 59921.14 	 126956 
 astuteness. 	 1 	 237046 	 237046 	 0 	 0.00 	 0 
 panic. 	 1 	 247904 	 247904 	 0 	 0.00 	 0 
 pension 	 3 	 265012 	 488524 	 38467 	 111756.00 	 185045 
 wrong-doer. 	 1 	 272197 	 272197 	 0 	 0.00 	 0 
 danger-signals. 	 1 	 284489 	 284489 	 0 	 0.00 	 0 
 unsatisfied. 	 1 	 302765 	 302765 	 0 	 0.00 	 0 
 correspondence. 	 3 	 316870 	 630348 	 154244 	 156739.00 	 159234 
 Pope--down 	 1 	 325251 	 325251 	 0 	 0.00 	 0 
 utterly. 	 1 	 329852 	 329852 	 0 	 0.00 	 0 
 Important. 	 1 	 330604 	 330604 	 0 	 0.00 	 0 
 stock. 	 2 	 352439 	 649075 	 296636 	 296636.00 	 296636 
 respects. 	 1 	 357753 	 357753 	 0 	 0.00 	 0 
 watch--"in 	 1 	 397458 	 397458 	 0 	 0.00 	 0 
 intended. 	 4 	 411963 	 620714 	 25954 	 69583.66 	 116588 
 orchids. 	 1 	 414046 	 414046 	 0 	 0.00 	 0 
 summer-house. 	 1 	 416767 	 416767 	 0 	 0.00 	 0 
 distrait. 	 2 	 425521 	 441937 	 16416 	 16416.00 	 16416 
 welcome. 	 4 	 428784 	 614324 	 10686 	 61846.67 	 163935 
 Reynolds. 	 1 	 438639 	 438639 	 0 	 0.00 	 0 
 aloof 	 4 	 450019 	 634898 	 4101 	 61626.33 	 119979 
 man-to-man 	 1 	 483339 	 483339 	 0 	 0.00 	 0 
 boundary. 	 1 	 496869 	 496869 	 0 	 0.00 	 0 
 planned. 	 2 	 502772 	 515559 	 12787 	 12787.00 	 12787 
 6 	 1 	 524602 	 524602 	 0 	 0.00 	 0 
 Warren. 	 1 	 529687 	 529687 	 0 	 0.00 	 0 
 Carbonari. 	 1 	 533595 	 533595 	 0 	 0.00 	 0 
 Baden 	 4 	 552601 	 556514 	 23 	 1304.33 	 2054 
 omitted. 	 1 	 553777 	 553777 	 0 	 0.00 	 0 
 Minories. 	 1 	 594185 	 594185 	 0 	 0.00 	 0 
 scowled. 	 1 	 616128 	 616128 	 0 	 0.00 	 0 
 contorted. 	 1 	 638068 	 638068 	 0 	 0.00 	 0 
 context. 	 1 	 640691 	 640691 	 0 	 0.00 	 0 
 hinging 	 1 	 2439 	 2439 	 0 	 0.00 	 0 
 calling 	 23 	 4520 	 526991 	 923 	 23748.68 	 108300 
 feeling 	 61 	 8446 	 655529 	 3 	 10784.72 	 44483 
 corresponding 	 10 	 9231 	 641462 	 87 	 70247.89 	 234639 
 employing 	 3 	 16496 	 593300 	 70810 	 288402.00 	 505994 
 him?' 	 6 	 17244 	 586781 	 8292 	 113907.40 	 304842 
 fetching 	 1 	 20199 	 20199 	 0 	 0.00 	 0 
 joining 	 7 	 24727 	 574567 	 13430 	 91640.00 	 214358 
 tested--so 	 1 	 29452 	 29452 	 0 	 0.00 	 0 
 low-lying 	 1 	 34978 	 34978 	 0 	 0.00 	 0 
 chance.' 	 1 	 40561 	 40561 	 0 	 0.00 	 0 
 7 	 2 	 60804 	 96580 	 35776 	 35776.00 	 35776 
 doin' 	 1 	 64698 	 64698 	 0 	 0.00 	 0 
 raw 	 9 	 79027 	 644658 	 5288 	 70703.88 	 348267 
 one,' 	 3 	 84131 	 247914 	 37354 	 81891.50 	 126429 
 distracting 	 2 	 86943 	 513422 	 426479 	 426479.00 	 426479 
